"Marca temporal","Que mazos vas a jugar en OP13?","Ahora te toca quedarte con uno!"
"2025/10/30 10:30:52 p. m. CET","Imu;Law GY;Lim;Wb/Ace ST22;Vegapunk","Law GY"
"2025/10/30 10:31:57 p. m. CET","Belo Betty;Nami BY;Lim;Smoker RG;Kuzan;Uta G","Uta G"
"2025/10/30 10:34:14 p. m. CET","Katakuri P;Reiju;Sanji BP;Foxy","Katakuri P"
"2025/10/30 10:37:30 p. m. CET","Sanji BP","Sanji BP"
"2025/10/30 10:37:48 p. m. CET","Imu;Ace RB;Roger;Sabo RB OP13","Imu"
"2025/10/30 10:38:04 p. m. CET","Luffy UP;Buggy;Foxy","Foxy"
"2025/10/30 10:38:23 p. m. CET","Imu;Ace RB;Belo Betty;Kuzan","Imu"
"2025/10/30 10:38:54 p. m. CET","Imu;Sabo RB OP13","Imu"
"2025/10/30 10:38:55 p. m. CET","Zoro G;Nami BY;Sanji R","Zoro G"
"2025/10/30 10:42:24 p. m. CET","Ace RB;Roger;Bonney G","Bonney G"
"2025/10/30 10:43:12 p. m. CET","Imu;Ace RB;Zoro G;Luffy UP","Ace RB"
"2025/10/30 10:44:18 p. m. CET","Imu;Rayleigh;Vegapunk","Vegapunk"
"2025/10/30 10:45:42 p. m. CET","Ace RB;Zoro G;Roger","Ace RB"
"2025/10/30 10:48:28 p. m. CET","Ace RB;Roger;Shanks","Ace RB"
"2025/10/30 10:49:08 p. m. CET","Sabo RB OP13;Pudding;Buggy","Sabo RB OP13"
"2025/10/30 10:50:31 p. m. CET","Imu;Ace RB;Luffy UP","Imu"
"2025/10/30 10:52:44 p. m. CET","Imu;Nami BY","Nami BY"
"2025/10/30 10:53:54 p. m. CET","Enel","Enel"
"2025/10/30 10:55:22 p. m. CET","Imu;Luffy RG OP13;Sabo RB OP13","Imu"
"2025/10/30 10:56:28 p. m. CET","Ace RB;Luffy UP;Belo Betty;Roger;Rayleigh","Ace RB"
"2025/10/30 10:56:52 p. m. CET","Ace RB;Sabo RB OP13","Ace RB"
"2025/10/30 10:59:44 p. m. CET","Imu;Sabo RB OP13","Imu"
"2025/10/30 11:05:27 p. m. CET","Imu;Zoro G;Roger","Zoro G"
"2025/10/30 11:13:18 p. m. CET","Ace RB;Nami BY;Wb/Ace ST22;Sabo RB OP13","Nami BY"
"2025/10/30 11:20:45 p. m. CET","Imu;Zoro G;Blackbeard","Imu"
"2025/10/30 11:21:14 p. m. CET","Sabo RB OP13;Buggy","Sabo RB OP13"
"2025/10/30 11:21:30 p. m. CET","Ace RB;Roger;Shanks","Roger"
"2025/10/30 11:27:17 p. m. CET","Imu","Imu"
"2025/10/30 11:32:35 p. m. CET","Imu;Roger;Sabo RB OP13","Imu"
"2025/10/31 12:01:06 a. m. CET","Luffy RG OP13","Bonney G"
"2025/10/31 12:16:43 a. m. CET","Nami BY;Enel;Law GY;Luffy BP","Enel"
"2025/10/31 12:19:16 a. m. CET","Zoro G","Zoro G"
"2025/10/31 1:04:37 a. m. CET","Ace RB;Roger","Ace RB"
"2025/10/31 1:29:42 a. m. CET","Ace RB;Pluffy","Ace RB"
"2025/10/31 7:21:04 a. m. CET","Imu;Zoro G;Rayleigh","Zoro G"
"2025/10/31 7:25:49 a. m. CET","Ace RB;Blackbeard","Ace RB"
"2025/10/31 8:32:09 a. m. CET","Imu;Ace RB;Luffy UP;Luffy GP;Boa","Ace RB"
"2025/10/31 8:32:31 a. m. CET","Roger;Rayleigh","Roger"
"2025/10/31 8:35:15 a. m. CET","Imu;Blackbeard","Imu"
"2025/10/31 8:38:55 a. m. CET","Sabo RB OP13;Pluffy;Zoro/Sanji","Sabo RB OP13"
"2025/10/31 9:01:39 a. m. CET","Bonney G;Vegapunk;Bonney Y","Bonney G"
"2025/10/31 9:44:26 a. m. CET","Roger;Sanji R;Luffy BP","Roger"
"2025/10/31 3:59:29 p. m. CET","Lim;Luffy RG OP13;Uta G;Yamato GY","Yamato GY"
"2025/10/31 4:04:28 p. m. CET","Imu;Zoro G;Katakuri P","Zoro G"
"2025/10/31 4:14:37 p. m. CET","Bonney G","Roger"